,0
City,Temperature
hamilton,286.36
bluff,272.96
jamestown,286.73
christchurch,293.16
hobart,287.76
barrow,293.15
santa fe,293.52
albany,286.16
hilo,296.16
carnarvon,281.84
portland,303.98
alpena,281.38
los lunas,295.84
mardin,286.44
kapaa,300.8
altay,287.05
fairbanks,272.95
pacific grove,294.77
rawson,298.17
thompson,281.4
roma,298.95
sitka,292.05
green river,290.44
half moon bay,293.31
saint george,293.99
high level,293.52
bud,282.6
bethel,272.48
port elizabeth,290.87
fortuna,289.96
kodiak,288.93
santa rosa,295.46
shelburne,284.65
pilar,292.48
sault sainte marie,279.48
vanderhoof,296.23
dickinson,278.46
long beach,301.49
georgetown,294.48
broome,302.05
victoria,305.65
russell,291.27
virginia beach,293.55
san jose,307.8
cayenne,286.07
key west,277.34
esperance,287.56
creston,285.6
margate,301.33
ballina,298.33
olga,301.95
dalby,283.19
moorhead,279.05
ola,293.3
catalina,303.86
eureka,287.48
oneonta,285.4
farmington,293.84
ukiah,295.24
morehead,295.41
nome,303.23
dingle,289.61
isla vista,297.42
dunedin,302.29
freeport,287.91
altamont,291.44
san rafael,293.89
laguna,297.08
kingman,303
lompoc,295.66
kahului,299.82
golden,287.77
high prairie,292.23
pecos,302.72
pleasanton,293.96
makakilo city,303.07
sweetwater,304.08
lima,294.7
mier,293.77
casper,285.71
chihuahua,307.6
horsham,290.39
westport,288.1
winnemucca,296.75
jackson,293.91
tucumcari,295.15
mackay,305.59
delta,294.61
homer,275.68
acapulco,294.43
panama city,298.07
lexington,295.38
